"","i","years","country","state","district","season","area","production_tonnes","yield_tn_ha","plant_dates","harvest_dates","season_length","EVI_annual_mean","EVI_annual_min","EVI_annual_max","EVI_annual_AUC","EVI_annual_5th_prct","EVI_annual_sd","EVI_annual_max_5th_prct","EVI_annual_AUC_5th_prct","EVI_growing_max_date","EVI_growing_mean","EVI_growing_min","EVI_growing_max","EVI_growing_AUC","EVI_growing_5th_prct","EVI_growing_max_5th_prct","EVI_growing_AUC_5th_prct","EVI_growing_AUC_v2","EVI_growing_AUC_leading","EVI_growing_AUC_trailing","EVI_growing_AUC_diff_mn","EVI_growing_AUC_diff_90th","EVI_all_growing_5th_prct","EVI_growing_sd","Whe_Yeild_kgha"
"13",1,NA,"India","Haryana","AMBALA",NA,NA,NA,NA,313,145,197,3253.88232084057,1640.67196299276,5556.54398741126,98742312849.5956,1754.79251810137,1153.56684242262,3998.90431543688,14149943202.747,33,2862.63311601333,1750.89799239377,4502.02751773568,52413.5796993384,1770.14899436846,3608.02203887223,36044.7319815087,52402.9053013059,21902.7522963372,30477.5846563509,-10742.2390943211,-18948.2394599374,1694.16865903606,929.113779319861,NA
"14",1,NA,"India","Haryana","AMBALA",NA,NA,NA,NA,313,33,85,3178.40230811256,1750.89799239377,5407.8040353736,102410506928.428,1776.85745995758,1093.69595166564,3998.90431543688,14149943202.747,25,3181.57661627776,2193.6384846047,3950.77069772544,35183.2136805703,2193.6384846047,3608.02203887223,36044.7319815087,35168.0043437717,31239.8851692779,3889.48115812185,-27972.6051130893,-36178.6054787056,1694.16865903606,637.838674363044,NA
"15",1,NA,"India","Haryana","AMBALA",NA,NA,NA,NA,NA,NA,NA,3768.2029486694,3659.6152453741,3950.77069772544,10449467405.0254,3659.6152453741,121.106217547807,3998.90431543688,14149943202.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",2,2002,"India","Haryana","BHIWANI","Rabi",127.732,425000,3.33,321,145,189,1768.77898241936,1372.07204526972,2338.64631186441,26799000647.519,1384.62036459745,291.980054900656,2444.48129724238,10886613625.7597,49,1940.10999439951,1032.67670100298,3436.64468690702,47303.8572972862,1038.0217348875,3254.78467911358,27472.2086656239,47300.3754868513,26537.8997341086,20695.8815844575,-3374.4628775454,-11462.8610696824,1142.65442396313,768.385312504257,NA
"17",2,2003,"India","Haryana","BHIWANI","Rabi",130.308,456000,3.5,313,121,173,2099.45722065134,1004.16280834915,3573.1526378588,65284961097.03,1038.46715437788,801.590391684814,2444.48129724238,10886613625.7597,33,2256.32224969425,1164.73274600163,3504.92590810518,50531.6225268342,1171.30386283546,3254.78467911358,27472.2086656239,50528.7941840088,25858.780027645,24649.6933633026,-146.697647997382,-8235.09584013435,1142.65442396313,822.049666079097,NA
"18",2,2004,"India","Haryana","BHIWANI","Rabi",126.605,415000,3.28,313,129,182,2180.43957916829,1115.33917050691,3504.92590810518,67565516630.0021,1152.55964827867,773.438197994442,2444.48129724238,10886613625.7597,57,2402.72099134328,1183.14356194091,3996.61875072006,56321.912421367,1193.32578917051,3254.78467911358,27472.2086656239,56328.0283483516,38824.1046396817,17432.646234398,5643.59224653546,-2444.80594560151,1142.65442396313,934.270016329799,NA
"19",2,2005,"India","Haryana","BHIWANI","Rabi",118.627,39000,0.33,313,137,189,2230.48642227726,1139.18509758742,3996.61875072006,69109357140.0306,1180.78597892383,826.721878028114,2444.48129724238,10886613625.7597,41,2098.09191392963,1042.7388316617,3325.99955950122,51196.2148767843,1059.60207237734,3254.78467911358,27472.2086656239,51192.1758537978,28109.2454038544,23093.1043981346,517.894701952704,-7570.50349018427,1142.65442396313,813.279296362102,NA
"20",2,2006,"India","Haryana","BHIWANI","Rabi",133.153,527000,3.96,313,129,181,2125.77126868923,1042.7388316617,3396.99616564417,65894023995.056,1087.37303774736,789.113390049789,2444.48129724238,10886613625.7597,49,2290.82556295731,1201.27619951206,3736.89819734345,53624.6409007404,1218.42704154242,3254.78467911358,27472.2086656239,53637.1026001595,31743.0704357674,21820.5910458375,2946.3207259088,-5142.07746622817,1142.65442396313,858.576707771855,NA
"21",2,2007,"India","Haryana","BHIWANI","Rabi",153.151,519000,3.39,313,121,173,2303.09618918216,1184.47153022499,3736.89819734345,71670017627.83,1185.72506438059,867.718107126353,2444.48129724238,10886613625.7597,49,2103.13701250486,1099.37229601518,3251.03652751423,47167.2048961512,1154.6349857685,3254.78467911358,27472.2086656239,47157.8515112497,29785.3416340413,17364.0153355439,-3511.11527868035,-11599.5134708173,1142.65442396313,749.368526503386,NA
"22",2,2008,"India","Haryana","BHIWANI","Rabi",151.257,598000,3.95,305,137,198,2293.38001619111,1081.27537950664,3595.87182691981,71092704559.6856,1158.58638858769,764.110446266624,2444.48129724238,10886613625.7597,33,2313.08313373806,1109.07415966387,3809.08807264841,58793.1971684889,1114.38777751423,3254.78467911358,27472.2086656239,58804.1529891169,31736.7072118717,27041.6640405314,8114.87699365729,26.478801520323,1142.65442396313,987.267146171534,NA
"23",2,2009,"India","Haryana","BHIWANI","Rabi",156.606,561000,3.58,313,129,181,2179.56640139462,1104.10790864733,3809.08807264841,67299445154.4583,1113.92426267281,889.184708274368,2444.48129724238,10886613625.7597,41,2301.43472283839,1080.14381268636,3702.96739631336,54002.505452167,1095.69198021144,3254.78467911358,27472.2086656239,54006.8415956139,30998.6027378354,22971.721951627,3324.1852773354,-4764.21291480157,1142.65442396313,924.35770944723,NA
"24",2,2010,"India","Haryana","BHIWANI","Rabi",158.991,710000,4.47,313,129,181,2329.30983000146,1047.95152480347,4065.38101210897,72029819743.4512,1070.85270500136,978.53930715239,2444.48129724238,10886613625.7597,49,2502.27392303696,1116.3215370019,4260.02674166441,58758.6596012884,1147.05601856872,3254.78467911358,27472.2086656239,58725.8239089184,36663.6413064766,22091.6300193304,8080.33942645687,-8.0587656800999,1142.65442396313,1040.25979081799,NA
"25",2,2011,"India","Haryana","BHIWANI","Rabi",151.368,650000,4.29,313,137,189,2525.07203482679,1116.3215370019,4260.02674166441,78450764464.7571,1195.52707847655,974.0783793092,2444.48129724238,10886613625.7597,49,2328.93441624126,1086.3534629981,3588.35658037409,56790.6974476281,1096.96594470046,3254.78467911358,27472.2086656239,56790.4861718217,34093.0732589907,22642.9571183369,6112.3772727965,-1976.02091934047,1142.65442396313,853.560687075429,NA
"26",2,2012,"India","Haryana","BHIWANI","Rabi",162.442,657000,4.04,329,137,174,2296.26043063572,1064.45449308756,3993.02008969462,71249239708.2529,1086.26349620493,925.673563009834,2444.48129724238,10886613625.7597,49,2477.39057096892,1158.09312821903,4055.22919490377,55522.4724533347,1167.59894280293,3254.78467911358,27472.2086656239,55534.6372255354,29743.0275901641,25743.8185133547,4844.1522785031,-3244.24591363387,1142.65442396313,998.496344546219,NA
"27",2,NA,"India","Haryana","BHIWANI",NA,NA,NA,NA,321,137,181,2431.11308879637,1158.09312821903,4469.10202587755,79174266208.8331,1178.09611344538,1013.53186280548,2444.48129724238,10886613625.7597,33,2434.59023871984,1215.50688533478,4184.00231095569,54625.6774083332,1228.13386080239,3254.78467911358,27472.2086656239,54608.7604017789,26619.9556571213,27941.0703091641,3947.35723350159,-4141.04095863538,1142.65442396313,1034.21600561503,NA
"28",2,NA,"India","Haryana","BHIWANI",NA,NA,NA,NA,313,137,189,2372.81405375531,1215.50688533478,4184.00231095569,71868213098.5611,1234.22609447005,972.157896132417,2444.48129724238,10886613625.7597,33,2177.70044948251,1221.76295066414,3917.22742613174,37936.3559241697,1227.42679079696,3254.78467911358,27472.2086656239,37922.1981625204,16243.5179601908,21615.2069686126,-12741.9642506619,-20830.3624427989,1142.65442396313,954.413624084314,NA
"29",2,NA,"India","Haryana","BHIWANI",NA,NA,NA,NA,313,33,85,2279.70445795745,1175.16061263215,4173.53383315806,75078222622.8255,1220.22813228517,953.281153279174,2444.48129724238,10886613625.7597,33,2450.27933835245,1300.5209067498,3604.56267281106,26921.4640730688,1300.5209067498,3254.78467911358,27472.2086656239,26927.7036968518,26921.4640730688,NA,-23756.8561017627,-31845.2542938997,1142.65442396313,850.801702722779,NA
"30",2,NA,"India","Haryana","BHIWANI",NA,NA,NA,NA,NA,NA,NA,3298.65096232041,3019.20386283546,3604.56267281106,9118570623.34198,3019.20386283546,265.674559304285,2444.48129724238,10886613625.7597,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",3,2002,"India","Haryana","FARIDABAD","Rabi",128.491,526000,4.09,321,129,173,2372.75963011443,1619.49600837587,3538.89283317785,35954587851.3125,1627.71677463683,601.707706651809,3575.69925208696,12610706526.2488,49,2626.91671931041,1331.58740675304,4559.94922130611,58929.2632395528,1341.76590923963,3692.14682714959,30544.2934494441,58935.3220703141,35363.2581759208,23483.9521075353,4162.66777093427,-3205.64203075445,1328.10851491951,1101.20621187186,NA
"32",3,2003,"India","Haryana","FARIDABAD","Rabi",131.447,520000,3.96,321,121,165,2678.30234369954,1274.82106399686,4559.94922130611,83070826201.9991,1295.59289850805,1053.82710725865,3575.69925208696,12610706526.2488,17,2719.15171813421,1390.99564847533,4346.1897843657,58300.6497920968,1427.19490495354,3692.14682714959,30544.2934494441,58298.0646802124,19967.6022883016,38161.1743821033,3534.05432347827,-3834.25547821046,1328.10851491951,1111.82212615828,NA
