"","i","years","country","state","district","season","area","production_tonnes","yield_tn_ha","plant_dates","harvest_dates","season_length","VEG_annual_mean","VEG_annual_min","VEG_annual_max","VEG_annual_AUC","VEG_annual_5th_prct","VEG_annual_sd","VEG_annual_max_5th_prct","VEG_annual_AUC_5th_prct","VEG_growing_max_date","VEG_growing_mean","VEG_growing_min","VEG_growing_max","VEG_growing_AUC","VEG_growing_5th_prct","VEG_growing_max_5th_prct","VEG_growing_AUC_5th_prct","VEG_growing_AUC_v2","VEG_growing_AUC_leading","VEG_growing_AUC_trailing","VEG_growing_AUC_diff_mn","VEG_growing_AUC_diff_90th","VEG_all_growing_5th_prct","VEG_growing_sd","Whe_Yeild_kgha","yield_tn_ha_dual"
"508",34,NA,"India","Punjab","MANSA",NA,NA,NA,NA,321,137,181,4434.78858744245,1597.04006923249,7666.97318171667,142876698783.733,1661.49764572322,1998.59716868689,5459.16539492295,22623491848.544,57,4737.26809255404,1650.45544554455,7875.38842775255,106645.357721201,1682.84031861833,7098.53790199509,53089.5115339487,106668.717652974,74422.40272361,32236.4213530676,11232.9677394687,-290.985719999298,1630.33128303432,2316.97645862767,NA,NA
"509",34,NA,"India","Punjab","MANSA",NA,NA,NA,NA,321,137,181,4567.12150799662,1650.45544554455,7875.38842775255,138419561440.356,1683.29237698206,2177.66978005385,5459.16539492295,22623491848.544,65,4241.76276487666,1708.25906350034,7977.65551254374,70167.5245523118,1715.6195302613,7098.53790199509,53089.5115339487,70101.1467468175,43429.5843990307,26691.5007332227,-25244.8654294203,-36768.8188888883,1630.33128303432,2368.89967661838,NA,NA
"510",34,NA,"India","Punjab","MANSA",NA,NA,NA,NA,321,33,77,4407.01495498384,1708.25906350034,7977.65551254374,146776614948.57,1731.81054492667,2044.97813552078,5459.16539492295,22623491848.544,33,5201.75311006975,2339.91941487382,7743.24408628166,52190.6687435086,2339.91941487382,7098.53790199509,53089.5115339487,52177.7024601895,52190.6687435086,NA,-43221.7212382236,-54745.6746976915,1630.33128303432,1967.77061538222,NA,NA
"511",34,NA,"India","Punjab","MANSA",NA,NA,NA,NA,NA,NA,NA,6968.71979916655,6441.96568153056,7743.24408628166,19091416769.1114,6441.96568153056,582.244115460045,5459.16539492295,22623491848.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512",35,2002,"India","Punjab","MOGA","Rabi",170,735000,4.32,297,129,197,4601.46774521059,2314.29627057613,6649.78274176955,69159823809.882,2338.23988554527,1491.42568225307,6739.35250257202,25325454479.193,33,4589.82358652323,1751.81796553498,7696.01059670782,117281.815302743,1827.83019097222,7549.13080825617,59071.0317130491,117278.412516579,62282.4388569719,54994.5312309733,1724.29235137689,-13679.3263941851,2003.04209104938,2154.35346134915,4324,4.324
"513",35,2003,"India","Punjab","MOGA","Rabi",171,743000,4.35,305,129,189,4546.50434900679,1745.83113425926,7696.01059670782,141838959447.652,1770.45779385288,2097.22830163071,6739.35250257202,25325454479.193,49,4810.83010545267,1884.10367798354,7807.4056712963,118214.355154608,1913.45204989712,7549.13080825617,59071.0317130491,118216.476974023,78000.4960299716,40150.8692770827,2656.83220324178,-12746.7865423202,2003.04209104938,2318.07693820695,4344,4.344
"514",35,2004,"India","Punjab","MOGA","Rabi",173,759000,4.39,305,137,198,4681.32914550259,1822.30001286008,7807.4056712963,144008668070.308,1863.81141975309,2093.08041656432,6739.35250257202,25325454479.193,41,5014.41647784253,1923.45979938272,7967.03752572016,128236.790715682,1935.37058127572,7549.13080825617,59071.0317130491,128249.605931622,74239.144564033,53933.1859564491,12679.2677643162,-2724.35098124579,2003.04209104938,2373.14664601484,4389,4.389
"515",35,2005,"India","Punjab","MOGA","Rabi",174,767000,4.41,313,137,189,4821.33868752518,1923.45979938272,7967.03752572016,148790829272.82,1945.1313117284,2158.75427131706,6739.35250257202,25325454479.193,49,4718.79169701646,1783.34447016461,7766.48995627572,115865.462194116,1791.65675411523,7549.13080825617,59071.0317130491,115885.484156379,71951.0546667697,43887.2823789206,307.939242750595,-15095.6795028114,2003.04209104938,2281.25675956623,4406,4.406
"516",35,2006,"India","Punjab","MOGA","Rabi",175,725000,4.14,305,129,189,4907.49152764223,1783.34447016461,7766.48995627572,151582495277.339,1888.18768582819,2160.92094853583,6739.35250257202,25325454479.193,49,5318.52621038235,2004.12750771605,7912.15106738683,130863.556337762,2047.59771604938,7549.13080825617,59071.0317130491,130810.001125042,84462.7198096378,46356.6560893244,15306.033386396,-97.5853591659979,2003.04209104938,2246.07631073421,4143,4.143
"517",35,2007,"India","Punjab","MOGA","Rabi",175,818000,4.67,305,137,197,4983.95392702337,1889.62907664609,7912.15106738683,153933563123.202,1967.04733153292,2150.25994499124,6739.35250257202,25325454479.193,49,4850.49262447467,2014.12201646091,7545.48034979424,123818.804137767,2021.80208912037,7549.13080825617,59071.0317130491,123862.964891434,77347.0006679789,46432.0045577619,8261.28118640165,-7142.33755916035,2003.04209104938,2231.10437138482,4670,4.67
